appTitle,userName,date,score,text,datetime,category,id,contentRating,processed_text,len,class1_ty,class2_ycx,class3_jc,final
Cash App,Terrance Howell,28-Feb-19,1,y i cant send money,2019/3/8,FINANCE,371972,Everyone,y i cant send money,19,1,1,1,1
Remind: School Communication,Linda Dunn,30-Apr-19,1,"I keep getting notifications about new messages, but when I open the app, it says that it can't connect and to try again later. I haven't been able to see any new messages since April 10. I need it to see what is going on at my child's school, but it never connects.",2019/5/9,EDUCATION,312199,Everyone,I keep getting notifications about new messages but when I open the app it says that it cant connect and to try again later I havent been able to see any new messages since April 10 I need it to see what is going on at my childs school but it never connects,257,1,1,1,1
,Gaddy Dominguez,30-Apr-19,5,awesomeness mean ll,2019/5/1,ENTERTAINMENT,1667196,,awesomeness mean ll,19,4,4,4,4
,Harsh K Pali,9-Apr-19,3,cant listen in background,2019/5/1,MUSIC_AND_AUDIO,1323143,,cant listen in background,25,1,1,2,1
Snowball.io,Eriz Drawz,19-Apr-19,5,It's so fun!!! Keep it up! :),2019/4/21,GAME_ACTION,938436,Everyone,Its so fun Keep it up ,22,4,4,4,4
YouTube Kids,,26-Feb-19,1,it has now got suiside tips on it,2019/3/13,FAMILY,1758449,Everyone,it has now got suiside tips on it,33,3,1,3,3
YouTube Music - Stream Songs & Music Videos,Mohan bhole,1-May-19,1,why the hell you are forcing for you tube premium And asking credit card information the people who are interested will bye subscription why you are showing ads pop-up,2019/5/9,MUSIC_AND_AUDIO,1369523,Teen,why the hell you are forcing for you tube premium And asking credit card information the people who are interested will bye subscription why you are showing ads popup,166,3,1,3,3
Google Play Games,Smart Akuma,18-Apr-19,5,it gives direct view on pes 2019,2019/4/21,ENTERTAINMENT,1656854,Teen,it gives direct view on pes 2019,32,3,3,3,3
,Gacha KaeLynn,13-Jan-19,1,"WTH I CANT SEARCH ANY SONG AND YOU DONT HAVE QUEEN!? WHAT IS YOUR LIFE IDIOTS! AND WAY TO MANY ADS! YOU LIVE UNDER A ROCK I GUESS! edit: thanks try ur best :3 sorry I was a bit harsh, I luv queen heh",2019/5/1,MUSIC_AND_AUDIO,1335903,,WTH I CANT SEARCH ANY SONG AND YOU DONT HAVE QUEEN WHAT IS YOUR LIFE IDIOTS AND WAY TO MANY ADS YOU LIVE UNDER A ROCK I GUESS edit thanks try ur best 3 sorry I was a bit harsh I luv queen heh,191,1,1,3,1
Duolingo: Learn Languages Free,,7-Mar-19,5,"Fantastic, and amazing that they offer such a well thought out learning program for free. Deeply appreciated.",2019/3/13,FAMILY,1769930,Everyone,Fantastic and amazing that they offer such a well thought out learning program for free Deeply appreciated,106,4,3,4,4
Family Locator - GPS Tracker,rajashekarreddy dasireddy,5-Apr-19,5,it's very helpful app for family,2019/4/7,LIFESTYLE,2189238,Everyone,its very helpful app for family,31,4,4,4,4
Tinder,sahariatul akmam,15-Mar-19,5,"I love the fact that it does gives you freedom when you know you wanna stop. well, all dating apps does offer the ""freedom"" but tinder is different. so, yay!",2019/3/24,LIFESTYLE,2137027,Mature 17+,I love the fact that it does gives you freedom when you know you wanna stop well all dating apps does offer the freedom but tinder is different so yay,150,3,3,4,3
WildCraft: Animal Sim Online 3D,A Google User,5-Mar-19,5,It's the BEST game ever!!!!!! (BTW IT HELPS ME FOR MY YT CHANNEL),2019/4/1,FAMILY,1845549,Everyone 10+,Its the BEST game ever BTW IT HELPS ME FOR MY YT CHANNEL,56,4,3,4,4
YouTube Kids,,26-Feb-19,4,I like it,2019/3/13,FAMILY,1765201,Everyone,I like it,9,4,4,4,4
Pandora Music,,3-Mar-19,5,MUSIIIIICCCCCCCAAAAAAAAA.music music more music and...YOULL NEVER GUESS IT!!!!MUSIC!!!!,2019/3/9,MUSIC_AND_AUDIO,1060926,Teen,MUSIICCAAmusic music more music andYOULL NEVER GUESS ITMUSIC,60,3,4,3,3
"Color by Number, Pixel Color - Pixel Art",Rhianne Cape,15-Apr-19,5,i love this app i give five stars because when im bored its useful when i play this my bored was gone,2019/5/9,ENTERTAINMENT,1744731,Everyone,i love this app i give five stars because when im bored its useful when i play this my bored was gone,101,4,3,4,4
Duolingo: Learn Languages Free,Pedro,21-Apr-19,3,I want to be able to select English from UK and Portuguese from Portugal. I want to learn from the origins.,2019/4/21,FAMILY,1960314,Everyone,I want to be able to select English from UK and Portuguese from Portugal I want to learn from the origins,105,2,2,2,2
Cash App,Purple Jak,15-Mar-19,1,All of a sudden can't deposit money to my account. Literally the only thing this app is supposed to do. Would not trust this app with large amounts of money.,2019/3/24,FINANCE,389921,Everyone,All of a sudden cant deposit money to my account Literally the only thing this app is supposed to do Would not trust this app with large amounts of money,153,1,2,1,1
Kick the Buddy,Siddharth Gupta,18-Apr-19,1,The game wouldn't start after downloading. It just kept on loading and loading.... ____,2019/4/21,GAME_ACTION,949267,Teen,The game wouldnt start after downloading It just kept on loading and loading ,77,1,1,1,1
Pluto TV - It__ Free TV,Anthony Appling,19-Mar-19,1,CANT WATCH LIVE TV,2019/3/24,ENTERTAINMENT,1483326,,CANT WATCH LIVE TV,18,1,1,2,1
Google Home,Sahil Patel,16-Apr-19,2,Alexa has way more features,2019/4/21,LIFESTYLE,2275132,Everyone,Alexa has way more features,27,3,2,2,2
Google Home,Marek Vince,24-Jan-19,5,"Ok, I'm updating my review on this app from 2 stars to 5 stars. thanks to google LLC they have told me that I just needed to enable my google app and everything seems to be working just fine now.",2019/3/13,LIFESTYLE,2077550,Everyone,Ok Im updating my review on this app from 2 stars to 5 stars thanks to google LLC they have told me that I just needed to enable my google app and everything seems to be working just fine now,191,3,3,4,3
Bitmoji _ your personal emoji,PrincessKryss kellis,17-Apr-19,5,so good no adds of course good options buuuut sometime they do not have the hair style i have ... SOOOOOOOOO COOOOOOOOL LOVE IT SO MUCH..!.........,2019/4/21,ENTERTAINMENT,1622828,,so good no adds of course good options buut sometime they do not have the hair style i have  SOO COOL LOVE IT SO MUCH,117,4,4,4,4
Drink Water Reminder: Water Tracker & Alarm,Subramaniam Kabaleeswaran,12-Mar-19,5,Good. Timely reminder to take water,2019/3/16,HEALTH_AND_FITNESS,2394216,Everyone,Good Timely reminder to take water,34,4,4,4,4
Samsung Health,shree chamunda,26-Mar-19,3,blood pressure measure option available,2019/4/1,HEALTH_AND_FITNESS,2468731,Everyone,blood pressure measure option available,39,2,2,2,2
Spotify - Music and Podcasts,Pauline Villavieja,12-Apr-19,5,Ries and Sing God And You Ries And Sing,2019/4/14,MUSIC_AND_AUDIO,1236295,Teen,Ries and Sing God And You Ries And Sing,39,4,4,3,4
Photomath,Sukhmani makan,2-Mar-19,5,very useful app,2019/3/8,EDUCATION,14745,Everyone,very useful app,15,4,4,4,4
,A Google User,10-Mar-19,1,had two friends join me on cash app did not get my 5$ each for them joining me.. faults advertising.......,2019/5/1,FINANCE,628301,,had two friends join me on cash app did not get my 5 each for them joining me faults advertising,96,3,1,3,3
Zelle,Brett Bogaard,11-Feb-19,1,This app is complete garbage. Zelle is trash that doesn't work.,2019/3/8,FINANCE,368490,Everyone,This app is complete garbage Zelle is trash that doesnt work,60,4,4,1,4
Snowball.io,James Fuchs,17-Mar-19,5,I Like This App!,2019/3/24,GAME_ACTION,753605,Everyone,I Like This App,15,4,4,4,4
Samsung Health,Sammia Kitchen,22-Apr-19,5,very useful app,2019/5/9,HEALTH_AND_FITNESS,2710814,Everyone,very useful app,15,4,4,4,4
,Rose Blackwell,14-Mar-19,1,why premium? can't you see I'm broke?,2019/5/1,HEALTH_AND_FITNESS,2633566,,why premium cant you see Im broke,33,1,1,3,1
,Lance Terry,30-Apr-19,3,My location is sometimes way off even though I have my GPS and WiFi on,2019/5/1,LIFESTYLE,2298773,,My location is sometimes way off even though I have my GPS and WiFi on,70,1,2,1,1
,Ryan Watkins,27-Apr-19,5,"I love the way the lessons are structured in such a way, that it's very easy to incorporate language learning into every day.",2019/5/1,FAMILY,2004360,,I love the way the lessons are structured in such a way that its very easy to incorporate language learning into every day,122,3,3,4,3
STARZ,,14-Nov-18,5,Very nice app,2019/3/13,ENTERTAINMENT,1422136,Mature 17+,Very nice app,13,4,4,4,4
Photomath,Kaleb Demouchette,29-Mar-19,5,I love this app,2019/4/1,EDUCATION,105678,Everyone,I love this app,15,4,4,4,4
Samsung Health,,19-Mar-19,5,great for tracking your steps,2019/3/24,HEALTH_AND_FITNESS,2439176,Everyone,great for tracking your steps,29,4,3,4,4
Cash App,,11-Mar-19,5,"This app does exactly what it says. It's simple, reliable, it never crashes or does anything funny with my money. I wish all apps behaved this way!",2019/3/24,FINANCE,419633,Everyone,This app does exactly what it says Its simple reliable it never crashes or does anything funny with my money I wish all apps behaved this way,141,4,3,3,3
Tubi - Free Movies & TV Shows,George Wolfe,8-May-19,5,Great free stuff. A few commercials. All good.,2019/5/9,ENTERTAINMENT,1741218,Teen,Great free stuff A few commercials All good,43,4,4,4,4
Calorie Counter - MyFitnessPal,Oaklynn Alvey,8-May-19,1,"Was recommended by my actual dietitian, only to not be able to use it because apparently I'm too young to lose weight and take care of my metabolic condition. thanks under armour.",2019/5/9,HEALTH_AND_FITNESS,2698733,Everyone,Was recommended by my actual dietitian only to not be able to use it because apparently Im too young to lose weight and take care of my metabolic condition thanks under armour,175,3,3,3,3
,Kimberly Campbell,28-Apr-19,4,Awesome... Keeps me up to date with what's going on with my credit.. For the most part..,2019/5/1,FINANCE,627587,,Awesome Keeps me up to date with whats going on with my credit For the most part,80,1,4,4,4
TurboTax Tax Return App _ Max Refund Guaranteed,Lisa True,28-Jan-19,2,been using turbo tax for years but this year it won't let me efile keeps telling me try again later it's been 5 days so I guess H&R block will get my business from now on,2019/3/8,FINANCE,367844,,been using turbo tax for years but this year it wont let me efile keeps telling me try again later its been 5 days so I guess HR block will get my business from now on,167,1,3,1,1
Super Bino Go - New Games 2019,Carrie Noble,11-Feb-19,5,Like it real good,2019/3/13,FAMILY,1780766,Everyone,Like it real good,17,4,4,4,4
,Mbusi Ndlovu,3-Apr-19,4,its legit i sound like marshmello,2019/5/1,MUSIC_AND_AUDIO,1322002,,its legit i sound like marshmello,33,3,4,4,4
Snowball.io,Jane Warren,25-Apr-19,5,It's like a snow ball fight _算__,2019/5/9,GAME_ACTION,1001994,Everyone,Its like a snow ball fight ,27,3,4,4,4
Fitbit,Kaprice Tompkins,27-Mar-19,1,my fitbit wont sync tried everything listed online. Nothing works. watch works fine but syncing sucks.,2019/4/1,HEALTH_AND_FITNESS,2467947,Everyone,my fitbit wont sync tried everything listed online Nothing works watch works fine but syncing sucks,99,1,1,1,1
,jeanie whitted,19-Feb-18,5,"TBH, it makes school better. yes it becomes really competitive but it's become a very big part in education and everyone love it.",2019/5/1,EDUCATION,263031,,TBH it makes school better yes it becomes really competitive but its become a very big part in education and everyone love it,125,4,3,4,4
,Chuy Franco,25-Feb-19,5,love this game.. just alil too many ads.. if that can be change that would be great,2019/5/1,GAME_ACTION,987376,,love this game just alil too many ads if that can be change that would be great,79,2,4,4,4
Amazon Prime Video,,12-Mar-19,4,"as far as performance, it's excellent, quality of programming, well?",2019/3/13,ENTERTAINMENT,1402382,Teen,as far as performance its excellent quality of programming well,63,4,4,4,4
TurboTax Tax Return App _ Max Refund Guaranteed,Matt Meadows,15-Apr-19,5,very good app it explains step by step very helpful and easy to use.,2019/4/21,FINANCE,583204,,very good app it explains step by step very helpful and easy to use,67,4,4,4,4
,Tejinder Singh Deo,10-Aug-18,4,it is good,2019/5/1,EDUCATION,249905,,it is good,10,4,4,4,4
,A Google User,20-Mar-19,1,it will not watch a movie,2019/5/1,ENTERTAINMENT,1693663,,it will not watch a movie,25,1,2,1,1
Duolingo: Learn Languages Free,Harris Morrison,10-Apr-19,4,"Trying German but getting bored with the repetition but jumping ahead brings up words I have to guess at initially. Perhaps this is the method or more likely, I should read the instructions!",2019/4/14,EDUCATION,181346,Everyone,Trying German but getting bored with the repetition but jumping ahead brings up words I have to guess at initially Perhaps this is the method or more likely I should read the instructions,187,3,2,3,3
YouTube Kids,Heidi Heredero,28-Feb-19,4,what about the grinch momo challenge?,2019/3/24,FAMILY,1817019,Everyone,what about the grinch momo challenge,36,3,2,2,2
Drum Pad Machine - Make Beats,Simon Green,29-Mar-19,4,love the app,2019/4/1,MUSIC_AND_AUDIO,1164902,Everyone,love the app,12,4,4,4,4
DisneyNOW _ Episodes & Live TV,paty gonzalez,7-Dec-18,5,I think it's not fair that when you try to watch something new it just shows a black screen I just want you to fix it please thanks,2019/3/13,FAMILY,1772847,,I think its not fair that when you try to watch something new it just shows a black screen I just want you to fix it please thanks,130,1,2,1,1
Toca Kitchen 2,,17-Mar-19,5,so cool and fun try it,2019/3/24,FAMILY,1788492,Everyone,so cool and fun try it,22,4,4,4,4
Bank of America Mobile Banking,John Jackson,30-Mar-19,3,"It's been a year and a half since the response to my mention of no ShopSafe in the app, and there hasn't been another word about it or sign of it _對_",2019/4/1,FINANCE,450638,Everyone,Its been a year and a half since the response to my mention of no ShopSafe in the app and there hasnt been another word about it or sign of it ,143,3,3,3,3
Netflix,Coral Perez,7-Apr-19,5,need more movies to be included,2019/4/7,ENTERTAINMENT,1536273,Teen,need more movies to be included,31,2,2,2,2
Roblox,Elly Eric,24-Mar-19,5,I love this game,2019/3/24,FAMILY,1813968,Everyone 10+,I love this game,16,4,4,4,4
Bank of America Mobile Banking,Fernando S獺nchez,18-Mar-19,5,"Excellent, easy, secure and friendly",2019/3/24,FINANCE,400509,Everyone,Excellent easy secure and friendly,34,4,4,4,4
Calorie Counter - MyFitnessPal,Danette Pratt,4-Apr-19,5,I have used this for 3 years or more. I like it a lot. Not going to stop,2019/4/7,HEALTH_AND_FITNESS,2519778,Everyone,I have used this for 3 years or more I like it a lot Not going to stop,70,4,4,4,4
Roku,Zuzana G,8-Feb-19,5,Works pretty much like the remote plus you can listen to the program with your headphones!,2019/3/13,ENTERTAINMENT,1414474,Teen,Works pretty much like the remote plus you can listen to the program with your headphones,89,3,3,3,3
Calorie Counter - MyFitnessPal,Oliver Daniels,31-Mar-19,4,Good for tracking ready made foods. Harder if you cook from basics.,2019/4/1,HEALTH_AND_FITNESS,2479663,Everyone,Good for tracking ready made foods Harder if you cook from basics,65,3,4,4,4
Bitmoji _ your personal emoji,Sophia Hutcheson,9-May-19,4,Really good. I just wish there weren't cuss words. Overall i really like it,2019/5/9,ENTERTAINMENT,1740851,,Really good I just wish there werent cuss words Overall i really like it,72,4,4,4,4
,Lori Rench,27-Apr-19,1,you have to pay for it,2019/5/1,LIFESTYLE,2319905,,you have to pay for it,22,3,1,3,3
Fantastic Face _ Daily face & Beauty Competition,A Google User,21-Feb-19,1,Not good I was doing an angry expression and it said i was sad,2019/4/7,LIFESTYLE,2190226,,Not good I was doing an angry expression and it said i was sad,62,4,4,2,4
,Junu GURUNG,30-Apr-19,4,pro game make ok,2019/5/1,GAME_ACTION,986255,,pro game make ok,16,3,4,4,4
PUBG MOBILE,farhan shaikh,24-Mar-19,1,remove cake update please,2019/3/24,GAME_ACTION,749997,Teen,remove cake update please,25,2,2,2,2
Calorie Counter - MyFitnessPal,BATMAN C-Smith,15-Apr-19,5,couldn't live without it I might actually be on my way to being healthy it is so easy thank you,2019/4/21,HEALTH_AND_FITNESS,2584168,Everyone,couldnt live without it I might actually be on my way to being healthy it is so easy thank you,94,3,4,3,3
,Majaiah Sheppard,30-Apr-19,5,it is toatally wort your time iv'e spent 5 hours playing it before yes i know its crazy but i never learn.,2019/5/1,GAME_ACTION,953798,,it is toatally wort your time ive spent 5 hours playing it before yes i know its crazy but i never learn,104,3,4,3,3
Chase Mobile,Devonte Perry,4-Apr-19,5,its been wonderful to me & my new bussiness,2019/4/7,FINANCE,475145,Everyone,its been wonderful to me  my new bussiness,42,4,4,4,4
"Notepad - Notes with Reminder, ToDo, Sticky notes",,28-Dec-18,5,Simple and works great.,2019/3/13,LIFESTYLE,2094479,Everyone,Simple and works great,22,4,4,4,4
,Priyanka Gupta,1-May-19,5,My game is not getting updated. It shows that it is of 475 my but goes more than it. Please help me pls.What to do now. I am downloading this update by hotspot. Playing help me.,2019/5/1,GAME_ACTION,957368,,My game is not getting updated It shows that it is of 475 my but goes more than it Please help me plsWhat to do now I am downloading this update by hotspot Playing help me,171,1,3,1,1
Snowball.io,M &m squad vlogs,5-Mar-19,5,it is a fun and aditing game i love it,2019/3/8,GAME_ACTION,696923,Everyone,it is a fun and aditing game i love it,38,4,4,4,4
,Ck Vineeth gamer,18-Jan-19,5,good to use it,2019/5/1,EDUCATION,252222,,good to use it,14,4,4,4,4
Duolingo: Learn Languages Free,Celeste I,2-Apr-19,5,It's great! It doesn't take a lot of time per day. Incentives for daily use. Excellent selection of languages to learn. Social/Competitive side to it.,2019/4/7,FAMILY,1890398,Everyone,Its great It doesnt take a lot of time per day Incentives for daily use Excellent selection of languages to learn SocialCompetitive side to it,142,4,3,4,4
Kahoot!,Kamyrnn Butler,16-Mar-18,4,It is good for learning and it is fun,2019/3/8,EDUCATION,8608,Everyone,It is good for learning and it is fun,37,4,4,4,4
Roblox,A Google User,31-Mar-19,5,me and my cousins love this app sooooo much,2019/4/1,FAMILY,1835086,Everyone 10+,me and my cousins love this app soo much,40,4,4,4,4
,Jeffrey Hildebrand,24-Apr-19,4,"could have done more ""smart"" settings, but otherwise excellent.",2019/5/1,HEALTH_AND_FITNESS,2655913,,could have done more smart settings but otherwise excellent,59,2,4,2,2
,A Google User,28-Feb-19,5,it looks cool and asome__,2019/5/1,GAME_ACTION,977596,,it looks cool and asome,23,4,4,4,4
Lose Belly Fat in 30 Days - Flat Stomach,Lyndsey DeFeo,28-Feb-19,5,really love the program. it keeps me updated with reminders and is exactly what i need to stay with it.,2019/3/16,HEALTH_AND_FITNESS,2361979,Everyone,really love the program it keeps me updated with reminders and is exactly what i need to stay with it,101,4,3,4,4
Tomb of the Mask,Ryan Effinger,22-Feb-19,2,"This game is ad galore. If you thought low effort apps had too many ads, wait until you try this one. This game is beautifully designed and actually very addicting. It's fun to test your speed and wits. And they're pretty generous with rewards. Even I willingly indulge myself in the x2 rewards to watch an ad. But here lies the issue, every single time you complete a level or lose a level, you're forced into an ad you can't leave for 15+ seconds. It's punishing for going fast and enjoying the game",2019/3/8,GAME_ACTION,692095,Everyone,This game is ad galore If you thought low effort apps had too many ads wait until you try this one This game is beautifully designed and actually very addicting Its fun to test your speed and wits And theyre pretty generous with rewards Even I willingly indulge myself in the x2 rewards to watch an ad But here lies the issue every single time you complete a level or lose a level youre forced into an ad you cant leave for 15 seconds Its punishing for going fast and enjoying the game,485,3,3,3,3
,Claudia Maldonado,27-Apr-19,5,these game is the best for me,2019/5/1,GAME_ACTION,976574,,these game is the best for me,29,4,4,4,4
SmartThings,Bill Green,8-Mar-19,5,Love this app.,2019/3/13,LIFESTYLE,2103456,Everyone,Love this app,13,4,4,4,4
,A Google User,2-Feb-19,5,been using them to do my taxes since i start working. they are great!! alway will use them____,2019/5/1,FINANCE,624971,,been using them to do my taxes since i start working they are great alway will use them,87,4,3,4,4
Quizlet: Learn Languages & Vocab with Flashcards,stella famorca,6-Mar-19,5,Helps in studying another language BIG TIME. The shareability of sets makes it a social platform for people who are studying the same thing. Better than any language app I've ever used.,2019/3/8,EDUCATION,30105,Everyone,Helps in studying another language BIG TIME The shareability of sets makes it a social platform for people who are studying the same thing Better than any language app Ive ever used,181,3,3,3,3
Battle Royale: FPS Shooter,Fellon Cameron,20-Mar-19,5,i love this game,2019/3/24,GAME_ACTION,775080,Teen,i love this game,16,4,4,4,4
Family Locator - GPS Tracker,Mridul Srivastava,4-May-19,5,Generally i don't give reviews but yes this app has met the expectations and i recommend the owners of this application to continue the good work..Keep it up guys!!,2019/5/9,LIFESTYLE,2356361,Everyone,Generally i dont give reviews but yes this app has met the expectations and i recommend the owners of this application to continue the good workKeep it up guys,159,4,3,4,4
Calorie Counter - MyFitnessPal,Angelica Coventry,9-Apr-19,4,"like the ""barscanner"" convenient way to check product contents when you have a few to choose from.",2019/4/14,HEALTH_AND_FITNESS,2549564,Everyone,like the barscanner convenient way to check product contents when you have a few to choose from,95,3,3,4,3
Duolingo: Learn Languages Free,scribbly frog,5-Apr-19,4,"It's lovely!! A really great app. I'm a bit annoyed by the constant advertisement of the Duo Plus, which you have to pay for, I think it's too frequent and is getting irritating. Other than that, really useful app, great for learning a new language in small, bitesized, less intimidating pieces.",2019/4/7,EDUCATION,155777,Everyone,Its lovely A really great app Im a bit annoyed by the constant advertisement of the Duo Plus which you have to pay for I think its too frequent and is getting irritating Other than that really useful app great for learning a new language in small bitesized less intimidating pieces,281,3,2,2,2
SoundCloud - Music & Audio,black virgin mama from the hood,28-Feb-19,5,"SoundCloud has all the underated and underground artists, that aren't famous in the mainstream media, despite their musical talent .",2019/3/9,MUSIC_AND_AUDIO,1065520,Teen,SoundCloud has all the underated and underground artists that arent famous in the mainstream media despite their musical talent ,128,3,3,3,3
Zelle,,23-Mar-18,1,Horrible app. Use Paypal or Venmo instead,2019/3/8,FINANCE,334550,Everyone,Horrible app Use Paypal or Venmo instead,40,4,4,4,4
Sweatcoin Pays You To Get Fit,Jacob Warmonkey,29-Dec-18,5,pretty cool app,2019/3/16,HEALTH_AND_FITNESS,2396652,Everyone,pretty cool app,15,4,4,4,4
Sniper 3D Gun Shooter: Free Elite Shooting Games,Md.Moin Khan,6-Apr-19,1,bhai itna easy game bohat bekar lagta hai thoda muskil banao,2019/4/7,GAME_ACTION,847092,Mature 17+,bhai itna easy game bohat bekar lagta hai thoda muskil banao,60,4,4,4,4
Roblox,John Broussard,20-Apr-19,5,THE BEST GAME EVER,2019/4/21,FAMILY,1952433,Everyone 10+,THE BEST GAME EVER,18,4,4,4,4
Helix Jump,michael frank,26-Mar-19,5,Should have an online score board,2019/4/1,GAME_ACTION,806248,Everyone,Should have an online score board,33,2,2,2,2
"Color by Number, Pixel Color - Pixel Art",A Google User,17-Mar-19,5,I love this game because it is so easy and fun._,2019/4/7,ENTERTAINMENT,1552080,Everyone,I love this game because it is so easy and fun,46,4,4,4,4
Ball Mayhem!,,27-Feb-19,5,its so fun,2019/3/8,GAME_ACTION,697879,Everyone,its so fun,10,4,4,4,4
Pixel Art: Color by Number,A Google User,24-Mar-19,4,"its good, but it lags .....a little",2019/4/14,ENTERTAINMENT,1606049,Everyone,its good but it lags a little,29,1,1,2,1
"Calm - Meditate, Sleep, Relax",Angela Vitale,16-Jan-19,5,I prefer this app over headspace and a few other meditation apps. Works for me quite well :) Easy to commit to daily practice with this well suited app.,2019/3/16,HEALTH_AND_FITNESS,2384541,Everyone,I prefer this app over headspace and a few other meditation apps Works for me quite well  Easy to commit to daily practice with this well suited app,148,4,3,4,4
Roblox,A Google User,14-Apr-19,5,its sooooooooooo epic:D,2019/4/14,FAMILY,1936279,Everyone 10+,its soo epicD,13,4,4,4,4
YouTube Music - Stream Songs & Music Videos,bibin baby,7-May-19,1,bad premium plans from Google,2019/5/9,MUSIC_AND_AUDIO,1375497,Teen,bad premium plans from Google,29,4,4,4,4
,Gary Baker jr,29-Apr-19,5,"I've been banking with bank of America for a long time and it's the only bank that I've ever had. bank of America is the best. their not just someone that holds your money, their family that keeps you're money safe.",2019/5/1,FINANCE,638573,,Ive been banking with bank of America for a long time and its the only bank that Ive ever had bank of America is the best their not just someone that holds your money their family that keeps youre money safe,207,4,3,4,4
CVS/pharmacy,Charles Beausejour,8-Nov-18,4,It has improved.,2019/3/16,HEALTH_AND_FITNESS,2399758,Everyone,It has improved,15,3,4,3,3
Credit Karma,Jared Bartlett,26-Apr-19,5,"this is a great app, especially for people like me who are trying to get their cedit score up. this app also is gives good advice on how to raise your score.",2019/5/9,FINANCE,677411,Everyone,this is a great app especially for people like me who are trying to get their cedit score up this app also is gives good advice on how to raise your score,154,4,3,4,4
slither.io,,18-Feb-19,5,iam going to delete this good game and play enjoy the weekend with things game,2019/3/8,GAME_ACTION,729450,Everyone,iam going to delete this good game and play enjoy the weekend with things game,78,4,4,4,4
Duolingo: Learn Languages Free,_郅迮郕_迮邿,6-Mar-19,1,Thank you for the spyware.,2019/3/13,FAMILY,1764794,Everyone,Thank you for the spyware,25,3,4,3,3
Sniper 3D Gun Shooter: Free Shooting Games - FPS,,5-Mar-19,5,wow this is a fantastic game,2019/3/8,GAME_ACTION,690620,Mature 17+,wow this is a fantastic game,28,4,4,4,4
,A Google User,11-Jan-19,1,i am not paying any thing,2019/5/1,EDUCATION,252252,,i am not paying any thing,25,3,4,3,3
Fitbit,Samantha DeWitt,13-Apr-19,5,Love my Fitbit! Great company!,2019/4/14,HEALTH_AND_FITNESS,2542215,Everyone,Love my Fitbit Great company,28,4,4,4,4
Spotify - Music and Podcasts,CA V,19-Apr-19,4,"Very reliable and great recommendations, but it eats away my storage. Still, great service.",2019/4/21,MUSIC_AND_AUDIO,1290358,Teen,Very reliable and great recommendations but it eats away my storage Still great service,87,4,1,4,4
,Phool Pati,23-Apr-19,4,good but some new movies are missing they need to work on it,2019/5/1,ENTERTAINMENT,1690902,,good but some new movies are missing they need to work on it,60,2,1,1,1
Photomath,ravdeep gulati,1-Mar-19,5,The experience with this app is really nice . But it should also solve statement question.,2019/3/8,EDUCATION,28182,Everyone,The experience with this app is really nice  But it should also solve statement question,88,4,1,1,1
Sniper 3D Gun Shooter: Free Elite Shooting Games,Chuck Sanford,2-Apr-19,4,"Sick, but fun.",2019/4/7,GAME_ACTION,837049,Mature 17+,Sick but fun,12,4,4,4,4
CVS/pharmacy,Nadia Byrd,9-May-19,5,great customer service and I have love shopping there for your sale's,2019/5/9,HEALTH_AND_FITNESS,2670757,Everyone,great customer service and I have love shopping there for your sales,68,4,4,3,4
Credit Karma,William Matias,5-Apr-19,5,credit karma really works,2019/4/7,FINANCE,487099,Everyone,credit karma really works,25,3,4,4,4
Duolingo: Learn Languages Free,,21-Mar-19,5,It is much more fun than other language courses.,2019/3/24,FAMILY,1791142,Everyone,It is much more fun than other language courses,47,4,4,4,4
Amazon Prime Video,Yogitabali Yanapu,10-Apr-19,4,some times it lags ans struck's,2019/4/14,ENTERTAINMENT,1597568,Teen,some times it lags ans strucks,30,1,1,3,1
Duolingo: Learn Languages Free,Aimee Bridges,9-May-19,3,it is really slow and laggy but quite a good app,2019/5/9,FAMILY,2044353,Everyone,it is really slow and laggy but quite a good app,48,1,1,2,1
PayPal Mobile Cash: Send and Request Money Fast,Karlos Young,4-Apr-19,2,Meh No fingerprint support for nexus phone but galaxy has support W.T.H ??,2019/4/7,FINANCE,467494,Everyone,Meh No fingerprint support for nexus phone but galaxy has support WTH ,70,1,2,2,2
,Tanzzzy277,18-Mar-19,1,music used to be free on here but now u have to choose a plan and pay money.,2019/5/1,MUSIC_AND_AUDIO,1317629,,music used to be free on here but now u have to choose a plan and pay money,75,3,2,3,3
PUBG MOBILE,Faiq Jutt,9-May-19,5,i love pubg,2019/5/9,GAME_ACTION,1011530,Teen,i love pubg,11,4,4,4,4
Fresh EBT - Food Stamp Balance,,20-Mar-19,1,"only in America can people check their Food Stamp balance on a $1,000 smart phone. If you want off assistance there are ways to drastically increase your income. I am a high school drop out earning 6 figures... but I also work 65 hours a week. its simply a choice today .. there are options.",2019/3/24,FINANCE,383674,Everyone,only in America can people check their Food Stamp balance on a 100 smart phone If you want off assistance there are ways to drastically increase your income I am a high school drop out earning 6 figures but I also work 65 hours a week its simply a choice today  there are options,279,3,1,3,3
Netflix,Sharon Bennett,27-Mar-19,5,Better than apple!,2019/4/1,ENTERTAINMENT,1516012,Teen,Better than apple,17,4,4,4,4
